latency,prob
3,0.005069889
4,0.018715944
5,0.029329543
6,0.031224828
7,0.031461739
8,0.031888178
9,0.032456764
10,0.033451789
11,0.034873253
12,0.036531628
13,0.038000474
14,0.039753613
15,0.042170102
16,0.044918266
17,0.048614072
18,0.052072968
19,0.056858564
20,0.063918503
21,0.071357498
22,0.079838901
23,0.088746742
24,0.098081023
25,0.107889126
26,0.117886757
27,0.127694859
28,0.137882018
29,0.148969439
30,0.158777541
31,0.169106847
32,0.180289031
33,0.19113954
34,0.202842928
35,0.214025113
36,0.223548922
37,0.232835821
38,0.243307273
39,0.252404643
40,0.262497039
41,0.273110637
42,0.283203032
43,0.292774224
44,0.302819237
45,0.313195925
46,0.32262497
47,0.333285951
48,0.343188818
49,0.352049277
50,0.36053068
51,0.368680407
52,0.37583511
53,0.383321488
54,0.390807865
55,0.3973466
56,0.404122246
57,0.411276949
58,0.41862118
59,0.426249704
60,0.434257285
61,0.441269841
62,0.44790334
63,0.455058043
64,0.462639185
65,0.470457238
66,0.477138119
67,0.483913765
68,0.491779199
69,0.497512438
70,0.502724473
71,0.508031272
72,0.513053779
73,0.518502724
74,0.523383085
75,0.528879412
76,0.534517887
77,0.539398247
78,0.543852168
79,0.549395878
80,0.554134091
81,0.559061834
82,0.564131722
83,0.568538261
84,0.57318171
85,0.57782516
86,0.582468609
87,0.585832741
88,0.590807865
89,0.595972518
90,0.600189529
91,0.604501303
92,0.608528785
93,0.613124852
94,0.617436626
95,0.621321962
96,0.625159915
97,0.629329543
98,0.632788439
99,0.636484245
100,0.640037906
101,0.643259891
102,0.646529258
103,0.650177683
104,0.653920872
105,0.657332386
106,0.661407249
107,0.664250178
108,0.667614309
109,0.670409855
110,0.673963516
111,0.678085762
112,0.682065861
113,0.686093343
114,0.688983653
115,0.692632078
116,0.695048567
117,0.697180763
118,0.699976309
119,0.703293059
120,0.705709548
121,0.707841744
122,0.711679697
123,0.713906657
124,0.716323146
125,0.719639896
126,0.722719735
127,0.725989102
128,0.728926795
129,0.731438048
130,0.733759773
131,0.735939351
132,0.738782279
133,0.741767354
134,0.744752428
135,0.746837242
136,0.749111585
137,0.751338545
138,0.753991945
139,0.756787491
140,0.759393509
141,0.761952144
142,0.764463397
143,0.766974651
144,0.769343757
145,0.771665482
146,0.774176735
147,0.776640606
148,0.778772803
149,0.78047856
150,0.78204217
151,0.784553423
152,0.786496091
153,0.788438759
154,0.790334044
155,0.792418858
156,0.794835347
157,0.796825397
158,0.798436389
159,0.800189529
160,0.802558635
161,0.804453921
162,0.806633499
163,0.808386638
164,0.810329306
165,0.812698413
166,0.814877991
167,0.816962805
168,0.818810708
169,0.820232172
170,0.821606254
171,0.823264629
172,0.824449183
173,0.826533997
174,0.828192371
175,0.829803364
176,0.831651267
177,0.833357024
178,0.834825871
179,0.836389481
180,0.837716181
181,0.839042881
182,0.84079602
183,0.842075338
184,0.843402037
185,0.844918266
186,0.846055437
187,0.847524283
188,0.848803601
189,0.850367212
190,0.851504383
191,0.852925847
192,0.854299929
193,0.856479507
194,0.858232646
195,0.859606728
196,0.861170339
197,0.862639185
198,0.864344942
199,0.866145463
200,0.867709074
201,0.868988391
202,0.870315091
203,0.872020848
204,0.873726605
205,0.875195451
206,0.876143094
207,0.877043355
208,0.877943615
209,0.878749112
210,0.879317697
211,0.880028429
212,0.881118218
213,0.881971097
214,0.882966122
215,0.883771618
216,0.884529732
217,0.8851457
218,0.88580905
219,0.886661928
220,0.887562189
221,0.88869936
222,0.889741767
223,0.890926321
224,0.891826581
225,0.892868988
226,0.893816631
227,0.89533286
228,0.896659559
229,0.897607202
230,0.898412698
231,0.89912343
232,0.899739398
233,0.900639659
234,0.90111348
235,0.901824212
236,0.902629709
237,0.903387823
238,0.903861644
239,0.904382848
240,0.904904051
241,0.905709548
242,0.90642028
243,0.907178394
244,0.907841744
245,0.908457711
246,0.90931059
247,0.910210851
248,0.9108742
249,0.911584932
250,0.912295665
251,0.913006397
252,0.914096186
253,0.914806918
254,0.915659796
255,0.916512675
256,0.917649846
257,0.918550107
258,0.919166074
259,0.920208481
260,0.920824449
261,0.921250888
262,0.92172471
263,0.922293295
264,0.922909263
265,0.923572613
266,0.92395167
267,0.924472874
268,0.925041459
269,0.925989102
270,0.926794598
271,0.92750533
272,0.928026534
273,0.928452973
274,0.928974177
275,0.929637527
276,0.93015873
277,0.930774698
278,0.931153755
279,0.931864487
280,0.932764748
281,0.933238569
282,0.933854537
283,0.934612651
284,0.934991708
285,0.935323383
286,0.935607676
287,0.936271026
288,0.936934376
289,0.937360815
290,0.937645108
291,0.938024165
292,0.938403222
293,0.938640133
294,0.939066572
295,0.939587775
296,0.940156361
297,0.940677565
298,0.941104004
299,0.941483061
300,0.942193793
301,0.942478086
302,0.943094054
303,0.943330964
304,0.943567875
305,0.943946932
306,0.944468136
307,0.945036721
308,0.945557925
309,0.946173892
310,0.946837242
311,0.947358446
312,0.947595357
313,0.948021796
314,0.948400853
315,0.948590381
316,0.948827292
317,0.949158967
318,0.949585406
319,0.95010661
320,0.950722578
321,0.951054253
322,0.951575456
323,0.951954513
324,0.952286188
325,0.952665245
326,0.953091684
327,0.953328595
328,0.953612888
329,0.954228856
330,0.954560531
331,0.954797441
332,0.955129116
333,0.955460791
334,0.955887231
335,0.956171523
336,0.956503198
337,0.956787491
338,0.957261312
339,0.957545605
340,0.95787728
341,0.958398484
342,0.958967069
343,0.959298744
344,0.959630419
345,0.959962094
346,0.960246387
347,0.960483298
348,0.960814973
349,0.961051883
350,0.96119403
351,0.961430941
352,0.961762615
353,0.96209429
354,0.962568112
355,0.962710258
356,0.962852405
357,0.962994551
358,0.963373608
359,0.963468372
360,0.963800047
361,0.963894812
362,0.964179104
363,0.964321251
364,0.964700308
365,0.964984601
366,0.965221511
367,0.965363658
368,0.965553186
369,0.965884861
370,0.966121772
371,0.966406065
372,0.966642976
373,0.966974651
374,0.967211561
375,0.967258943
376,0.96740109
377,0.967448472
378,0.967685383
379,0.967922293
380,0.967969675
381,0.968159204
382,0.968348733
383,0.968680407
384,0.968917318
385,0.969106847
386,0.969343757
387,0.969722814
388,0.970007107
389,0.970244018
390,0.970386164
391,0.970575693
392,0.970812604
393,0.971049514
394,0.971428571
395,0.971665482
396,0.971760246
397,0.971902393
398,0.972139303
399,0.972613125
400,0.972850036
401,0.973039564
402,0.97318171
403,0.973323857
404,0.973513385
405,0.97360815
406,0.973655532
407,0.973939825
408,0.97450841
409,0.974840085
410,0.974982232
411,0.975313907
412,0.975503435
413,0.975692964
414,0.975929874
415,0.976119403
416,0.976214167
417,0.976308932
418,0.976545842
419,0.976687989
420,0.976877517
421,0.977256574
422,0.977635631
423,0.97782516
424,0.977872542
425,0.977919924
426,0.978062071
427,0.978346363
428,0.978441128
429,0.978535892
430,0.978630656
431,0.978725421
432,0.978867567
433,0.979104478
434,0.979246624
435,0.979483535
436,0.979720445
437,0.97981521
439,0.979957356
440,0.980099502
442,0.980336413
443,0.980668088
444,0.980904999
445,0.981094527
446,0.981189292
447,0.981236674
448,0.981284056
449,0.981331438
450,0.981426202
451,0.981615731
452,0.981710495
454,0.981805259
455,0.98204217
456,0.982231699
459,0.982373845
460,0.982515991
461,0.982610756
462,0.98270552
463,0.982847666
464,0.982895049
466,0.982989813
467,0.983179341
468,0.983274106
469,0.983416252
470,0.983605781
471,0.983653163
472,0.983747927
473,0.983795309
474,0.983890073
475,0.98403222
476,0.984126984
477,0.984269131
479,0.984363895
480,0.984458659
481,0.984506041
482,0.984553423
483,0.984648188
484,0.984742952
485,0.984837716
486,0.985027245
487,0.985122009
488,0.985311538
489,0.985453684
491,0.98559583
492,0.985690595
493,0.985785359
494,0.985832741
496,0.985880123
497,0.98602227
498,0.986117034
499,0.98625918
500,0.986306562
501,0.986401327
502,0.986496091
503,0.986543473
504,0.98668562
506,0.986780384
507,0.986827766
508,0.986875148
511,0.98692253
513,0.986969912
514,0.987064677
515,0.987159441
516,0.987396352
517,0.987538498
518,0.98758588
519,0.987680644
520,0.987775409
521,0.987822791
522,0.987870173
523,0.987964937
524,0.988059701
525,0.988107084
526,0.988154466
527,0.988201848
528,0.988343994
529,0.988486141
531,0.988580905
532,0.988628287
533,0.988675669
536,0.988723051
538,0.988770434
539,0.988817816
540,0.98891258
541,0.989007344
543,0.989054726
544,0.989149491
545,0.989196873
546,0.989291637
550,0.989386401
551,0.989433783
553,0.989528548
554,0.98957593
555,0.989670694
556,0.989718076
557,0.989812841
558,0.989907605
561,0.990002369
562,0.990097133
563,0.990144516
568,0.990191898
569,0.990334044
570,0.99047619
571,0.990570955
572,0.990713101
573,0.99090263
574,0.991092158
575,0.991234305
576,0.991281687
580,0.991329069
581,0.991376451
582,0.991423833
583,0.991518597
585,0.991613362
586,0.991708126
587,0.991755508
589,0.991850272
590,0.991945037
591,0.992039801
592,0.992134565
593,0.99222933
594,0.992276712
597,0.992371476
602,0.992418858
603,0.992513622
604,0.992608387
605,0.992655769
606,0.992703151
610,0.992750533
611,0.992845297
612,0.992940062
613,0.993034826
614,0.993082208
615,0.993224354
616,0.993319119
617,0.993366501
619,0.993413883
620,0.993461265
623,0.993508647
624,0.993556029
625,0.993603412
627,0.993698176
628,0.99379294
630,0.993887704
632,0.993935086
633,0.993982469
638,0.994029851
641,0.994077233
642,0.994171997
643,0.994219379
644,0.994266761
645,0.994314144
647,0.994361526
648,0.994408908
649,0.99445629
659,0.994503672
662,0.994551054
663,0.994645819
664,0.994693201
666,0.994740583
667,0.994835347
668,0.994930111
670,0.995024876
671,0.99511964
673,0.995214404
675,0.995261786
676,0.995309168
677,0.995356551
681,0.995403933
682,0.995498697
683,0.995546079
692,0.995593461
693,0.995640843
696,0.995688226
697,0.995735608
700,0.99578299
701,0.995830372
702,0.995877754
705,0.995925136
706,0.995972518
707,0.9960199
708,0.996067283
709,0.996114665
713,0.996162047
715,0.996209429
728,0.996256811
736,0.996304193
737,0.996351575
738,0.996398958
739,0.99644634
740,0.996493722
742,0.996541104
750,0.996588486
751,0.99668325
752,0.996730633
756,0.996778015
757,0.996872779
766,0.996920161
769,0.996967543
771,0.997014925
772,0.997062308
773,0.99710969
774,0.997157072
775,0.997204454
776,0.997251836
777,0.997299218
778,0.9973466
796,0.997393982
797,0.997441365
804,0.997488747
809,0.997536129
812,0.997583511
813,0.997630893
814,0.997678275
816,0.997725657
829,0.99777304
834,0.997867804
835,0.997915186
842,0.997962568
843,0.99800995
846,0.998057332
847,0.998104715
848,0.998152097
856,0.998199479
857,0.998246861
866,0.998294243
867,0.998341625
893,0.998389007
897,0.998483772
898,0.998531154
921,0.998578536
922,0.998625918
925,0.9986733
929,0.998720682
930,0.998768064
938,0.998815447
944,0.998910211
945,0.998957593
946,0.999004975
955,0.999052357
956,0.999147122
957,0.999194504
981,0.999241886
994,0.999289268
999,0.99933665
1012,0.999384032
1015,0.999431414
1017,0.999478796
1019,0.999526179
1020,0.999573561
1040,0.999620943
1076,0.999668325
1086,0.999715707
1087,0.999763089
1153,0.999810471
1154,0.999857854
1155,0.999905236
1235,0.999952618
1293,1
